id,drug_name,reaction_term,case_count,drug_total,reaction_total,grand_total,prr,ror,prr_chi_square,signal_status,confidence,first_detected_date,last_updated,serious_ratio,death_ratio,countries_count,source_proxy_count,passes_robust_filter,artifact_reason,robust_signal_score
188,EXTRANEAL,PERITONEAL DIALYSIS COMPLICATION,87,87,87,20864371,777.2123,789.2843,55023.6444,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,0.7241379310344828,0.10344827586206896,11,11,True,passes_robust_filter,954.2891611735942
189,GILENYA,EXPANDED DISABILITY STATUS SCALE SCORE INCREASED,162,162,162,20864371,356.283,357.2958,28867.5504,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,1.0,0.0,14,14,True,passes_robust_filter,953.8292515699742
190,OSIMERTINIB,DRUG RESISTANCE,198,198,198,20864371,187.6304,210.0805,35993.8197,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,0.9949494949494949,0.1111111111111111,17,17,True,passes_robust_filter,951.325917174918
191,CETROTIDE,OVARIAN HYPERSTIMULATION SYNDROME,35,35,35,20864371,2231.3486,2520.4679,73421.8664,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,1.0,0.0,8,8,True,passes_robust_filter,951.0861911045575
192,THIOTEPA,GRAFT VERSUS HOST DISEASE,70,70,70,20864371,198.5018,203.2495,13186.1562,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,1.0,0.8,8,8,True,passes_robust_filter,949.8413835474308
193,VENCLYXTO,CHRONIC LYMPHOCYTIC LEUKAEMIA,36,36,36,20864371,269.3869,275.0703,9155.0401,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,1.0,0.5833333333333334,13,13,True,passes_robust_filter,949.8006400151345
194,GEFITINIB,DRUG RESISTANCE,160,160,160,20864371,206.9101,234.6654,32169.9887,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,1.0,0.10625,17,17,True,passes_robust_filter,947.3513623468743
195,IMATINIB,PHILADELPHIA CHROMOSOME POSITIVE,52,52,52,20864371,493.4593,495.9892,20202.4362,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,0.9807692307692307,0.07692307692307693,17,17,True,passes_robust_filter,943.455819009623
196,INVOKANA,LEG AMPUTATION,588,588,588,20864371,791.5345,818.637,276951.1018,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,1.0,0.022108843537414966,4,4,True,passes_robust_filter,939.7890058603809
197,BUSULFAN,GRAFT VERSUS HOST DISEASE,92,92,92,20864371,170.3358,173.7855,14764.8162,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,1.0,0.4782608695652174,13,13,True,passes_robust_filter,939.2814895807742
