drug_name,reaction_term,case_count,prr,ror,prr_chi_square,serious_ratio,death_ratio,countries_count,source_proxy_count,passes_robust_filter,artifact_reason,robust_signal_score
VIGABATRIN,INFANTILE SPASMS,21,2626.6582,2673.4257,45629.9622,1.0,0.09523809523809523,6,6,True,passes_robust_filter,818.6765322070177
DIANEAL LOW CALCIUM PERITONEAL DIALYSIS SOLUTION WITH DEXTROSE,PERITONEAL DIALYSIS COMPLICATION,210,2368.622,2448.6736,286055.1244,0.49047619047619045,0.0380952380952381,4,4,True,passes_robust_filter,818.285237508964
FLUDARABINE,GRAFT VERSUS HOST DISEASE IN GASTROINTESTINAL TRACT,63,133.7965,134.6928,7707.1184,1.0,0.38095238095238093,18,18,True,passes_robust_filter,814.3929854718399
NORDIAZEPAM,TOXICITY TO VARIOUS AGENTS,111,62.3417,81.576,6654.8124,1.0,0.963963963963964,10,10,True,passes_robust_filter,813.7630268362248
INVOKANA,AMPUTATION,228,856.0463,867.1794,112166.8337,1.0,0.017543859649122806,4,4,True,passes_robust_filter,813.2811869745566
FLUDARABINE,GRAFT VERSUS HOST DISEASE,92,83.5083,84.324,7149.4273,1.0,0.5434782608695652,18,18,True,passes_robust_filter,812.7727162718771
GILENYA,MULTIPLE SCLEROSIS RELAPSE,1848,41.5027,42.86,65609.7439,0.9788961038961039,0.005411255411255411,45,45,True,passes_robust_filter,812.4206819849483
HARVONI,HEPATITIS C,206,134.2045,138.1155,25904.8059,0.9854368932038835,0.009708737864077669,22,22,True,passes_robust_filter,811.7995521086006
EMTRICITABINE/TENOFOVIR DISOPROXIL FUMARATE,ACUTE HIV INFECTION,24,2046.7039,2065.3365,37314.3499,1.0,0.041666666666666664,7,7,True,passes_robust_filter,811.6058551185981
XALKORI,NEOPLASM PROGRESSION,228,76.4346,80.9619,16665.5094,0.5614035087719298,0.3333333333333333,32,32,True,passes_robust_filter,811.2655738523223
MAGNEVIST,GADOLINIUM DEPOSITION DISEASE,168,1079.6383,1132.8262,151875.1917,1.0,0.0,4,4,True,passes_robust_filter,811.2616557758922
VANCOMYCIN,LINEAR IGA DISEASE,151,258.3114,260.4753,31402.3283,0.9801324503311258,0.059602649006622516,11,11,True,passes_robust_filter,810.8159282295857
OMNISCAN,GADOLINIUM DEPOSITION DISEASE,160,1110.2554,1167.1039,150018.3318,1.0,0.0,4,4,True,passes_robust_filter,810.2231865338434
TRETINOIN,DIFFERENTIATION SYNDROME,25,885.2372,898.142,19749.424,1.0,0.12,10,10,True,passes_robust_filter,807.8300007507331
KYLEENA,PREGNANCY WITH CONTRACEPTIVE DEVICE,121,245.227,250.2915,27279.5546,0.9917355371900827,0.0,15,15,True,passes_robust_filter,807.3044756464097
MIRENA,ECTOPIC PREGNANCY WITH CONTRACEPTIVE DEVICE,136,165.2419,165.7597,16404.2336,1.0,0.0,22,22,True,passes_robust_filter,807.2173144624845
VISUDYNE,CHOROIDAL NEOVASCULARISATION,15,4206.4296,4342.0887,53731.673,1.0,0.0,7,7,True,passes_robust_filter,805.9765641436416
BEDAQUILINE,TUBERCULOSIS,36,167.7137,172.3163,5739.4637,1.0,0.8333333333333334,9,9,True,passes_robust_filter,805.9509126642548
OLANZAPINE PAMOATE,POST-INJECTION DELIRIUM SEDATION SYNDROME,20,2967.9166,3273.7843,54724.433,1.0,0.05,6,6,True,passes_robust_filter,805.183834525097
CARMUSTINE,MYELODYSPLASTIC SYNDROME,67,257.7398,272.8954,16635.7117,1.0,0.3880597014925373,8,8,True,passes_robust_filter,802.598197813538
ALCOHOL,TOXICITY TO VARIOUS AGENTS,397,29.2983,32.8602,10810.4162,0.9974811083123426,0.8942065491183879,18,18,True,passes_robust_filter,801.7757183358787
THIOTEPA,ADENOVIRUS INFECTION,49,301.4888,306.5089,13782.9502,0.9795918367346939,0.3673469387755102,9,9,True,passes_robust_filter,800.0284586031672
ALTEPLASE,HAEMORRHAGIC TRANSFORMATION STROKE,24,382.243,387.0385,8449.7851,1.0,0.4583333333333333,10,10,True,passes_robust_filter,798.3030626200064
OSIMERTINIB,MALIGNANT NEOPLASM PROGRESSION,223,65.1037,73.9224,13957.4163,1.0,0.16591928251121077,32,32,True,passes_robust_filter,798.2341260440253
